spanishtop1k,tagalogtop1k,englishtop1k,hiligaynontop1k,bikoltop1k,waraytop1k,ilocanotop1k,cebuanotop1k,kapampangantop1k,pangasinensetop1k,yakantop1k,ivatantop1k,tausugtop1k,yamitop1k,tuwali_ifugaotop1k,masbatenotop1k
mal,"pa,",,,,,,,ile,,,,,,,
_li,gi_,,,,,,,_se,,,,,,,
lgu,ahu,,,,,,,?_A,,,,,,,
ojo,atl,,,,,,,naw,,,,,,,
enc,Nar,,,,,,,ubl,,,,,,,
Y_v,eru,,,,,,,bra,,,,,,,
e_b,lem,,,,,,,Man,,,,,,,
rab,a_w,,,,,,,umu,,,,,,,
far,nio,,,,,,,das,,,,,,,
eré,gum,,,,,,,",_T",,,,,,,
:_M,nih,,,,,,,l_l,,,,,,,
spu,y_w,,,,,,,aha,,,,,,,
ato,Gal,,,,,,,sto,,,,,,,
rás,ile,,,,,,,"m,_",,,,,,,
_au,"mo,",,,,,,,mba,,,,,,,
ria,nis,,,,,,,lem,,,,,,,
sea,ng.,,,,,,,",_K",,,,,,,
arí,San,,,,,,,Bal,,,,,,,
nue,",_o",,,,,,,d_m,,,,,,,
ntó,a_D,,,,,,,mu.,,,,,,,
Y_é,tah,,,,,,,sub,,,,,,,
ola,"ri,",,,,,,,_up,,,,,,,
"da,","id,",,,,,,,dem,,,,,,,
ení,gut,,,,,,,nyu,,,,,,,
ern,maa,,,,,,,mie,,,,,,,
l_P,nug,,,,,,,ist,,,,,,,
r_s,in:,,,,,,,;_i,,,,,,,
íos,d._,,,,,,,Ika,,,,,,,
did,s;_,,,,,,,nus,,,,,,,
adi,_Jo,,,,,,,l_y,,,,,,,
len,liw,,,,,,,eo_,,,,,,,
_or,ndo,,,,,,,Sas,,,,,,,
_ab,ubo,,,,,,,duk,,,,,,,
ciu,tab,,,,,,,",_G",,,,,,,
lue,Sim,,,,,,,sum,,,,,,,
_Te,hig,,,,,,,dep,,,,,,,
_Cu,igy,,,,,,,_Jo,,,,,,,
avo,_Su,,,,,,,aul,,,,,,,
as;,;_d,,,,,,,t_J,,,,,,,
ués,nul,,,,,,,pe_,,,,,,,
oye,_Pi,,,,,,,yu:,,,,,,,
él.,saa,,,,,,,str,,,,,,,
rep,lea,,,,,,,lea,,,,,,,
:_T,igt,,,,,,,g_C,,,,,,,
mí_,gig,,,,,,,g._,,,,,,,
s_b,dan,,,,,,,_or,,,,,,,
hay,tem,,,,,,,",_B",,,,,,,
nas,emp,,,,,,,l_d,,,,,,,
dej,mpl,,,,,,,nar,,,,,,,
irá,plo,,,,,,,s!_,,,,,,,
"ió,",in;,,,,,,,_Tu,,,,,,,
_ne,o_b,,,,,,,but,,,,,,,
ubi,tna,,,,,,,ebi,,,,,,,
oga,k._,,,,,,,ga.,,,,,,,
"io,",bum,,,,,,,ato,,,,,,,
_ad,niw,,,,,,,ota,,,,,,,
vo_,o_i,,,,,,,Gal,,,,,,,
cue,gna,,,,,,,su_,,,,,,,
Jud,mpu,,,,,,,_le,,,,,,,
pes,sa',,,,,,,bak,,,,,,,
scl,lun,,,,,,,_Ab,,,,,,,
enz,kod,,,,,,,di_,,,,,,,
í_m,t_u,,,,,,,g_E,,,,,,,
._D,p_s,,,,,,,_Be,,,,,,,
ust,bot,,,,,,,",_P",,,,,,,
tec,o_r,,,,,,,gum,,,,,,,
udí,as.,,,,,,,_es,,,,,,,
dío,",_G",,,,,,,esp,,,,,,,
a:_,g_w,,,,,,,git,,,,,,,
lvi,to?,,,,,,,kip,,,,,,,
tuv,t_w,,,,,,,raw,,,,,,,
aut,tu_,,,,,,,aes,,,,,,,
"ta,",ero,,,,,,,Iti,,,,,,,
mig,esk,,,,,,,m._,,,,,,,
"ía,",skr,,,,,,,tip,,,,,,,
pen,kri,,,,,,,in.,,,,,,,
rín,rib,,,,,,,",_S",,,,,,,
eza,ast,,,,,,,lo_,,,,,,,
tim,ya;,,,,,,,ony,,,,,,,
os:,uks,,,,,,,_Ni,,,,,,,
aun,s:_,,,,,,,ait,,,,,,,
Y_h,_Ng,,,,,,,gis,,,,,,,
dia,aun,,,,,,,es_,,,,,,,
ard,kip,,,,,,,up_,,,,,,,
eri,isu,,,,,,,ua.,,,,,,,
lén,pah,,,,,,,!_K,,,,,,,
Jer,._H,,,,,,,mpi,,,,,,,
eda,hit,,,,,,,dil,,,,,,,
bol,m_s,,,,,,,Ald,,,,,,,
a_P,yag,,,,,,,sta,,,,,,,
alo,"ba,",,,,,,,d._,,,,,,,
var,"io,",,,,,,,ora,,,,,,,
u_h,bon,,,,,,,"ka,",,,,,,,
prí,dig,,,,,,,glu,,,,,,,
ínc,ngd,,,,,,,igs,,,,,,,
bas,hab,,,,,,,kes,,,,,,,
ied,",_b",,,,,,,an;,,,,,,,
gui,ke_,,,,,,,et_,,,,,,,
sid,tub,,,,,,,tia,,,,,,,
l_v,tit,,,,,,,"mu,",,,,,,,
Qué,nya,,,,,,,Mae,,,,,,,
ún_,ent,,,,,,,?_P,,,,,,,
o_é,gtu,,,,,,,el_,,,,,,,
vis,maw,,,,,,,rat,,,,,,,
"is,",Sum,,,,,,,dug,,,,,,,
ira,_Ak,,,,,,,",_b",,,,,,,
_ya,us.,,,,,,,"ng,",,,,,,,
tú_,ham,,,,,,,tku,,,,,,,
_oj,om_,,,,,,,_He,,,,,,,
